,D1N,D1C,População residente,Taxa de crescimento geométrico,Variação absoluta da população residente 2010 compatibilizada,AREA_KM2
0,Acre,12,830018.0,1.03,96459.0,164173.429
1,Alagoas,27,3127683.0,0.02,6796.0,27830.661
2,Amapá,16,733759.0,0.77,64233.0,142470.762
3,Amazonas,13,3941613.0,1.03,457628.0,1559255.881
4,Bahia,29,14141626.0,0.07,124555.0,564760.429
5,Ceará,23,8794957.0,0.33,343313.0,148894.447
6,Distrito Federal,53,2817381.0,0.76,245222.0,5760.784
7,Espírito Santo,32,3833712.0,0.73,318760.0,46074.448
8,Goiás,52,7056495.0,1.36,1054706.0,340242.859
9,Maranhão,21,6776699.0,0.25,201910.0,329651.496
10,Mato Grosso,51,3658649.0,1.57,623527.0,903208.361
11,Mato Grosso do Sul,50,2757013.0,0.99,307989.0,357142.082
12,Minas Gerais,31,20539989.0,0.39,942659.0,586513.983
13,Paraná,41,11444380.0,0.76,999854.0,199298.981
14,Paraíba,25,3974687.0,0.45,208159.0,56467.242
15,Pará,15,8120131.0,0.57,539080.0,1245870.704
16,Pernambuco,26,9058931.0,0.25,262876.0,98067.877
17,Piauí,22,3271199.0,0.4,152102.0,251755.481
18,Rio Grande do Norte,24,3302729.0,0.35,134702.0,52809.599
19,Rio Grande do Sul,43,10882965.0,0.15,189036.0,281707.151
20,Rio de Janeiro,33,16055174.0,0.03,65245.0,43750.425
21,Rondônia,11,1581196.0,0.1,18787.0,237754.172
22,Roraima,14,636707.0,2.93,186228.0,223644.53
23,Santa Catarina,42,7610361.0,1.66,1361925.0,95730.69
24,Sergipe,28,2210004.0,0.56,142152.0,21938.188
25,São Paulo,35,44411238.0,0.61,3149039.0,248219.485
26,Tocantins,17,1511460.0,0.74,128015.0,277423.627
