,NM_CANDIDATO,SG_UF,QT_VOTOS_NOMINAIS_VALIDOS
0,JAIR MESSIAS BOLSONARO,AC,287750
1,JAIR MESSIAS BOLSONARO,AL,687827
2,JAIR MESSIAS BOLSONARO,AM,961741
3,JAIR MESSIAS BOLSONARO,AP,200547
4,JAIR MESSIAS BOLSONARO,BA,2357028
5,JAIR MESSIAS BOLSONARO,CE,1634477
6,JAIR MESSIAS BOLSONARO,DF,1041331
7,JAIR MESSIAS BOLSONARO,ES,1282145
8,JAIR MESSIAS BOLSONARO,GO,2193041
9,JAIR MESSIAS BOLSONARO,MA,1082749
10,JAIR MESSIAS BOLSONARO,MG,6141310
11,JAIR MESSIAS BOLSONARO,MS,880606
12,JAIR MESSIAS BOLSONARO,MT,1216730
13,JAIR MESSIAS BOLSONARO,PA,2073895
14,JAIR MESSIAS BOLSONARO,PB,802502
15,JAIR MESSIAS BOLSONARO,PE,1798832
16,JAIR MESSIAS BOLSONARO,PI,467065
17,JAIR MESSIAS BOLSONARO,PR,4159343
18,JAIR MESSIAS BOLSONARO,RJ,5403894
19,JAIR MESSIAS BOLSONARO,RN,711381
20,JAIR MESSIAS BOLSONARO,RO,633236
21,JAIR MESSIAS BOLSONARO,RR,213518
22,JAIR MESSIAS BOLSONARO,RS,3733185
23,JAIR MESSIAS BOLSONARO,SC,3047630
24,JAIR MESSIAS BOLSONARO,SE,421086
25,JAIR MESSIAS BOLSONARO,SP,14216587
26,JAIR MESSIAS BOLSONARO,TO,411654
27,JAIR MESSIAS BOLSONARO,ZZ,145264
28,LUIZ INÁCIO LULA DA SILVA,AC,121566
29,LUIZ INÁCIO LULA DA SILVA,AL,976831
30,LUIZ INÁCIO LULA DA SILVA,AM,1004991
31,LUIZ INÁCIO LULA DA SILVA,AP,189918
32,LUIZ INÁCIO LULA DA SILVA,BA,6097815
33,LUIZ INÁCIO LULA DA SILVA,CE,3807891
34,LUIZ INÁCIO LULA DA SILVA,DF,729295
35,LUIZ INÁCIO LULA DA SILVA,ES,926767
36,LUIZ INÁCIO LULA DA SILVA,GO,1542115
37,LUIZ INÁCIO LULA DA SILVA,MA,2668425
38,LUIZ INÁCIO LULA DA SILVA,MG,6190960
39,LUIZ INÁCIO LULA DA SILVA,MS,599547
40,LUIZ INÁCIO LULA DA SILVA,MT,652786
41,LUIZ INÁCIO LULA DA SILVA,PA,2509084
42,LUIZ INÁCIO LULA DA SILVA,PB,1601953
43,LUIZ INÁCIO LULA DA SILVA,PE,3640933
44,LUIZ INÁCIO LULA DA SILVA,PI,1551383
45,LUIZ INÁCIO LULA DA SILVA,PR,2506605
46,LUIZ INÁCIO LULA DA SILVA,RJ,4156217
47,LUIZ INÁCIO LULA DA SILVA,RN,1326785
48,LUIZ INÁCIO LULA DA SILVA,RO,262904
49,LUIZ INÁCIO LULA DA SILVA,RR,67128
50,LUIZ INÁCIO LULA DA SILVA,RS,2891851
51,LUIZ INÁCIO LULA DA SILVA,SC,1351918
52,LUIZ INÁCIO LULA DA SILVA,SE,862951
53,LUIZ INÁCIO LULA DA SILVA,SP,11519882
54,LUIZ INÁCIO LULA DA SILVA,TO,434593
55,LUIZ INÁCIO LULA DA SILVA,ZZ,152905
