,SG_UF,NM_CANDIDATO,QT_VOTOS_NOMINAIS_VALIDOS
0,AC,JAIR MESSIAS BOLSONARO,287750
1,AC,LUIZ INÁCIO LULA DA SILVA,121566
2,AL,JAIR MESSIAS BOLSONARO,687827
3,AL,LUIZ INÁCIO LULA DA SILVA,976831
4,AM,JAIR MESSIAS BOLSONARO,961741
5,AM,LUIZ INÁCIO LULA DA SILVA,1004991
6,AP,JAIR MESSIAS BOLSONARO,200547
7,AP,LUIZ INÁCIO LULA DA SILVA,189918
8,BA,JAIR MESSIAS BOLSONARO,2357028
9,BA,LUIZ INÁCIO LULA DA SILVA,6097815
10,CE,JAIR MESSIAS BOLSONARO,1634477
11,CE,LUIZ INÁCIO LULA DA SILVA,3807891
12,DF,JAIR MESSIAS BOLSONARO,1041331
13,DF,LUIZ INÁCIO LULA DA SILVA,729295
14,ES,JAIR MESSIAS BOLSONARO,1282145
15,ES,LUIZ INÁCIO LULA DA SILVA,926767
16,GO,JAIR MESSIAS BOLSONARO,2193041
17,GO,LUIZ INÁCIO LULA DA SILVA,1542115
18,MA,JAIR MESSIAS BOLSONARO,1082749
19,MA,LUIZ INÁCIO LULA DA SILVA,2668425
20,MG,JAIR MESSIAS BOLSONARO,6141310
21,MG,LUIZ INÁCIO LULA DA SILVA,6190960
22,MS,JAIR MESSIAS BOLSONARO,880606
23,MS,LUIZ INÁCIO LULA DA SILVA,599547
24,MT,JAIR MESSIAS BOLSONARO,1216730
25,MT,LUIZ INÁCIO LULA DA SILVA,652786
26,PA,JAIR MESSIAS BOLSONARO,2073895
27,PA,LUIZ INÁCIO LULA DA SILVA,2509084
28,PB,JAIR MESSIAS BOLSONARO,802502
29,PB,LUIZ INÁCIO LULA DA SILVA,1601953
30,PE,JAIR MESSIAS BOLSONARO,1798832
31,PE,LUIZ INÁCIO LULA DA SILVA,3640933
32,PI,JAIR MESSIAS BOLSONARO,467065
33,PI,LUIZ INÁCIO LULA DA SILVA,1551383
34,PR,JAIR MESSIAS BOLSONARO,4159343
35,PR,LUIZ INÁCIO LULA DA SILVA,2506605
36,RJ,JAIR MESSIAS BOLSONARO,5403894
37,RJ,LUIZ INÁCIO LULA DA SILVA,4156217
38,RN,JAIR MESSIAS BOLSONARO,711381
39,RN,LUIZ INÁCIO LULA DA SILVA,1326785
40,RO,JAIR MESSIAS BOLSONARO,633236
41,RO,LUIZ INÁCIO LULA DA SILVA,262904
42,RR,JAIR MESSIAS BOLSONARO,213518
43,RR,LUIZ INÁCIO LULA DA SILVA,67128
44,RS,JAIR MESSIAS BOLSONARO,3733185
45,RS,LUIZ INÁCIO LULA DA SILVA,2891851
46,SC,JAIR MESSIAS BOLSONARO,3047630
47,SC,LUIZ INÁCIO LULA DA SILVA,1351918
48,SE,JAIR MESSIAS BOLSONARO,421086
49,SE,LUIZ INÁCIO LULA DA SILVA,862951
50,SP,JAIR MESSIAS BOLSONARO,14216587
51,SP,LUIZ INÁCIO LULA DA SILVA,11519882
52,TO,JAIR MESSIAS BOLSONARO,411654
53,TO,LUIZ INÁCIO LULA DA SILVA,434593
54,ZZ,JAIR MESSIAS BOLSONARO,145264
55,ZZ,LUIZ INÁCIO LULA DA SILVA,152905
